ID,Country,Fulfill Via,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
61,Zambia,Direct Drop,Air,2007-01-08,2007-01-08,2007-01-08,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,2500.0,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,853.0,13569.49,
62,Nigeria,Direct Drop,Air,2007-01-10,2007-01-10,2007-01-10,HRDT,Hiv Test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests",InstantCHEK,Test kit,100,10.0,850.0,85.0,0.85,"EY Laboratories, USA",Yes,,,
64,Rwanda,Direct Drop,Air,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Generic,Tablet - FDC,60,10000.0,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,7416.0,64179.42,
65,Haiti,Direct Drop,Air,2007-01-18,2007-01-18,2007-01-18,HRDT,Hiv Test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,750.0,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256.0,1760.32,
68,Zimbabwe,Direct Drop,Air,2007-03-19,2007-03-19,2007-03-19,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 200mg [Videx], tablets, 60 Tabs",Videx,Tablet,60,579.0,14764.5,25.5,0.42,"BMS Meymac, France",Yes,,,
69,Nigeria,Direct Drop,,2007-05-07,2007-05-07,2007-05-07,HRDT,Hiv Test,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,1500.0,120000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,,,192.0
11283,Nigeria,From RDC,Air,2008-09-10,2008-09-10,2008-09-10,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Generic,Tablet,30,12000.0,140640.0,11.72,0.39,"Aurobindo Unit III, India",No,,,225.02
80,Rwanda,Direct Drop,Air,2007-03-29,2007-03-29,2007-03-29,HRDT,Hiv Test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",First Response,Test kit,30,2000.0,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710.0,3120.7,
87,Tanzania,Direct Drop,Air,2007-06-06,2007-06-06,2007-06-06,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Videx,Powder for oral solution,200,712.0,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162.0,912.96,
92,Nigeria,Direct Drop,Air,2007-06-19,2007-06-19,2007-06-19,HRDT,Hiv Test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",Determine,Test kit,100,1000.0,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341.0,2682.47,128.0
96,Nigeria,Direct Drop,Air,2007-06-19,2007-06-19,2007-06-19,HRDT,Hiv Test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,Test kit,20,7500.0,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2278.0,15893.71,
108,Côte D'Ivoire,Direct Drop,Air,2007-10-02,2007-10-02,2007-10-02,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 200mg [Videx], tablets, 60 Tabs",Videx,Tablet,60,5513.0,140581.5,25.5,0.42,"BMS Meymac, France",Yes,2126.0,,224.93
115,Vietnam,Direct Drop,Air,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Generic,Oral suspension,240,1000.0,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,941.0,4193.49,3.07
116,Vietnam,Direct Drop,Air,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,Tablet,120,500.0,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117.0,1767.38,65.75
130,Haiti,Direct Drop,Air,2007-08-13,2007-08-21,2007-08-21,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,750.0,53992.5,71.99,0.72,Inverness Japan,Yes,171.0,3518.38,86.39
134,Haiti,Direct Drop,Air,2007-08-25,2007-08-25,2007-08-25,HRDT,Hiv Test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",OraQuick,Test kit,100,25.0,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,60.0,3097.85,14.0
138,Tanzania,Direct Drop,Air,2007-10-16,2007-10-16,2007-10-16,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,10000.0,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,27869.74,320.0
139,Tanzania,Direct Drop,Air,2007-11-22,2007-11-22,2007-11-22,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,10000.0,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,28461.1,320.0
140,Tanzania,Direct Drop,Air,2007-11-22,2007-11-22,2007-11-22,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,10000.0,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,28359.8,320.0
161,Ethiopia,Direct Drop,Air,2007-11-20,2007-11-20,2007-11-20,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Generic,Capsule,60,64000.0,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,4228.0,12237.61,158.72
176,Nigeria,Direct Drop,Air,2007-10-03,2007-10-03,2007-10-03,HRDT,Hiv Test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,Test kit,20,10000.0,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3263.0,20885.78,432.0
262,South Africa,Direct Drop,,2008-01-29,2008-01-29,2008-01-29,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Retrovir,Oral solution,200,40.0,317.6,7.94,0.04,GSK Mississauga (Canada),Yes,,,0.51
269,Vietnam,Direct Drop,Air,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,Tablet,30,1000.0,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76.0,2282.57,27.2
270,Vietnam,Direct Drop,Air,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Generic,Tablet,60,400.0,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23.0,2149.05,5.36
284,Rwanda,Direct Drop,Air,2008-01-31,2008-01-31,2008-01-31,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,1500.0,15.0,0.01,0.0,Inverness Japan,Yes,99.0,0.75,0.02
305,Nigeria,Direct Drop,Air,2008-02-05,2008-02-05,2008-02-05,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,650.0,6.5,0.01,0.0,Inverness Japan,Yes,,,0.01
343,South Africa,Direct Drop,,2008-01-21,2008-01-04,2008-01-04,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,Powder for oral solution,200,200.0,340.0,1.7,0.01,"BMS Meymac, France",Yes,,,0.54
361,Haiti,Direct Drop,Air,2008-02-18,2008-02-18,2008-02-18,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,Test kit,100,2.0,278.0,139.0,1.39,"Trinity Biotech, Plc",Yes,,,0.44
391,Côte D'Ivoire,Direct Drop,Air,2008-06-17,2008-06-17,2008-06-17,HRDT,Hiv Test,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,Test kit,40,476.0,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,509.0,5446.51,57.88
392,Côte D'Ivoire,Direct Drop,Air,2009-03-19,2009-03-19,2009-03-19,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,659.0,13180.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,206.0,2656.12,25.83
85797,Nigeria,From RDC,Air Charter,2011-12-05,2011-10-17,2011-10-17,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Generic,Tablet - FDC,30,17038.0,152830.86,8.97,0.3,"Aurobindo Unit III, India",Yes,1722.0,21326.73,252.17
398,Guyana,Direct Drop,Air,2008-04-09,2008-04-01,2008-04-01,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,240.0,2.4,0.01,0.0,Inverness Japan,Yes,,,0.0
399,Guyana,Direct Drop,Air,2008-07-28,2008-07-28,2008-07-28,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,213.0,2.13,0.01,0.0,Inverness Japan,Yes,14.0,360.0,0.0
400,Ethiopia,Direct Drop,,2008-03-11,2008-03-11,2008-03-11,HRDT,Hiv Test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,Test kit,100,63.0,13399.25,212.69,2.13,,Yes,,,21.44
410,Zimbabwe,Direct Drop,Air,2008-11-17,,2008-11-17,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,1634.0,117631.66,71.99,0.72,Inverness Japan,Yes,373.0,4112.46,188.21
411,Nigeria,Direct Drop,Air,2008-04-17,2008-04-17,2008-04-17,HRDT,Hiv Test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,Test kit,20,1425.0,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,483.0,5468.88,61.56
414,Namibia,Direct Drop,Air,2008-06-04,2008-06-04,2008-06-04,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,142.0,10222.58,71.99,0.72,Inverness Japan,Yes,33.0,1715.17,16.36
420,Vietnam,Direct Drop,Air,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Generic,Tablet,30,8400.0,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654.0,4051.34,154.29
422,South Africa,Direct Drop,Truck,2008-04-24,2008-04-24,2008-04-24,ARV,Adult,S. BUYS WHOLESALER,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,Capsule,270,6.0,405.06,67.51,0.25,Roche Basel,Yes,,,0.65
423,South Africa,Direct Drop,Truck,2008-04-24,2008-04-24,2008-04-24,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,Powder for oral solution,200,600.0,870.0,1.45,0.01,"BMS Meymac, France",No,,,1.39
438,Vietnam,Direct Drop,Air,2008-07-12,2008-07-12,2008-07-12,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,400.0,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81.0,2211.05,4.48
459,South Africa,Direct Drop,,2008-04-25,2008-04-07,2008-04-07,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,6.0,77.1,12.85,0.21,"BMS Meymac, France",Yes,,,0.12
464,Nigeria,Direct Drop,Air,2008-07-09,2008-07-09,2008-07-09,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,5498.0,439785.02,79.99,0.8,Inverness Japan,Yes,1251.0,16090.22,703.66
465,Nigeria,Direct Drop,Air,2008-07-09,2008-07-04,2008-07-04,HRDT,Hiv Test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,5498.0,54.98,0.01,0.0,Inverness Japan,Yes,,,0.09
466,Ethiopia,Direct Drop,Air,2008-05-09,2008-05-09,2008-05-09,HRDT,Hiv Test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,15.0,691.42,46.09,2.3,"Trinity Biotech, Plc",Yes,,,1.11
530,Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Generic,Tablet,30,1344.0,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,1537.0,13507.92,29.37
531,South Africa,Direct Drop,Truck,2008-08-20,2008-08-20,2008-08-20,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 20mg [Zerit], capsules, 60 Caps",Zerit,Capsule,60,20.0,103.4,5.17,0.09,"BMS Meymac, France",Yes,,,0.2
532,South Africa,Direct Drop,Truck,2008-08-20,2008-05-08,2008-05-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,Delayed-release capsules - blister,30,100.0,1906.0,19.06,0.64,"BMS Meymac, France",Yes,,,3.05
533,South Africa,Direct Drop,Truck,2008-08-20,2008-05-08,2008-05-08,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,Powder for oral solution,200,670.0,1025.1,1.53,0.01,"BMS Meymac, France",No,,,1.64
535,Tanzania,Direct Drop,Air,2008-09-02,2008-02-09,2008-09-02,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,Delayed-release capsules - blister,30,2597.0,61470.99,23.67,0.79,"BMS Meymac, France",Yes,117.0,645.1,98.35
543,Haiti,Direct Drop,Air,2008-09-30,2008-09-30,2008-09-30,HRDT,Hiv Test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",OraQuick,Test kit,100,28.0,9800.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,109.0,782.13,15.68
551,Haiti,Direct Drop,Air,2008-11-24,2008-11-24,2008-11-24,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,Test kit,100,84.0,11676.0,139.0,1.39,"Trinity Biotech, Plc",Yes,54.0,871.57,22.88
598,South Africa,Direct Drop,Truck,2008-06-12,2008-06-09,2008-06-09,ARV,Adult,S. BUYS WHOLESALER,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Ziagen,Tablet - blister,60,30.0,1049.4,34.98,0.58,GSK Ware (UK),Yes,,,1.68
610,Vietnam,Direct Drop,Air,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Generic,Tablet,60,38640.0,92736.0,2.4,0.04,"Aurobindo Unit III, India",Yes,2719.0,18614.72,148.38
630,Nigeria,Direct Drop,Air,2009-02-25,2008-09-09,2008-09-09,ACT,Act,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Coartem,Tablet - FDC + blister,540,34.0,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",Yes,115.0,1755.87,2.48
637,Vietnam,Direct Drop,Air,2008-10-08,2008-10-08,2008-10-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Generic,Capsule,60,42000.0,60900.0,1.45,0.02,"Aurobindo Unit III, India",Yes,2600.0,10179.16,97.44
646,South Africa,Direct Drop,Truck,2008-07-10,2008-07-08,2008-07-08,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Viramune,Oral suspension,240,50.0,696.5,13.93,0.06,"BI, Ingelheim, Germany",Yes,,,1.11
660,Vietnam,Direct Drop,Air,2008-11-27,2008-11-27,2008-11-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Generic,Tablet,30,16800.0,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,1224.0,4686.88,335.54
668,Guyana,Direct Drop,Air,2008-08-15,2008-08-15,2008-08-15,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Paramax,Test kit,25,98.0,3675.0,37.5,1.5,Not Applicable,Yes,34.0,180.0,5.88
670,Zambia,Direct Drop,Air,2008-10-20,2008-10-20,2008-10-20,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,4500.0,323955.0,71.99,0.72,Inverness Japan,Yes,1053.0,11062.05,634.95
712,Namibia,Direct Drop,Air,2008-09-18,2008-09-18,2008-09-18,HRDT,Hiv Test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,Test kit,20,10.0,320.0,32.0,1.6,"Trinity Biotech, Plc",Yes,,,0.51
717,Côte D'Ivoire,Direct Drop,Air,2008-10-02,2008-10-02,2008-10-02,HRDT,Hiv Test,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,Test kit,40,500.0,38000.0,76.0,1.9,Bio-Rad Laboratories,Yes,562.0,11298.13,60.8
719,Côte D'Ivoire,Direct Drop,Air,2009-01-23,2009-01-23,2009-01-23,ACT,Act,IDA FOUNDATION,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Generic,Tablet - FDC + co-blister,12,25000.0,9750.0,0.39,0.03,Ipca Dadra/Nagar Haveli IN,Yes,1708.0,12830.91,19.11
772,Nigeria,Direct Drop,Air,2009-03-10,2009-04-08,2009-04-08,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Atripla,Tablet - FDC,30,9.0,453.6,50.4,1.68,"MSD, Haarlem, NL",Yes,,,0.89
791,Namibia,Direct Drop,Air,2008-10-29,2008-10-29,2008-10-29,HRDT,Hiv Test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,Test kit,100,150.0,10798.5,71.99,0.72,Inverness Japan,Yes,46.0,2698.04,21.17
796,Botswana,Direct Drop,Air,2008-11-28,2008-11-28,2008-11-28,HRDT,Hiv Test - Ancillary,"Trinity Biotech, Plc","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,Test kit - Ancillary,2,15.0,450.0,30.0,15.0,"Trinity Biotech, Plc",Yes,1.0,578.01,0.88
797,Zambia,Direct Drop,Air,2009-01-23,2009-01-23,2009-01-23,HRDT,Hiv Test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,Test kit,25,319.0,6380.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,100.0,1122.24,12.5
835,South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,Tablet,30,80.0,1830.4,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Yes,,,3.59
836,South Africa,Direct Drop,Truck,2009-05-17,2009-05-17,2009-05-17,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,Tablet,30,120.0,2745.6,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Yes,,,5.38
837,South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,Powder for oral solution,200,600.0,858.0,1.43,0.01,"BMS Meymac, France",No,,,1.68
838,South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",Videx,Chewable/dispersible tablet,60,7.0,91.35,13.05,0.22,"BMS Meymac, France",No,,,0.18
839,South Africa,Direct Drop,Truck,2009-05-17,2008-10-09,2008-10-09,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Kaletra,Oral solution,300,40.0,1375.6,34.39,0.11,ABBVIE (Abbott) Logis. UK,No,,,2.7
849,Guyana,Direct Drop,Air,2009-02-06,2009-02-06,2009-02-06,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Paramax,Test kit,25,108.0,4050.0,37.5,1.5,Not Applicable,Yes,,,7.94
